"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2024","2","54.3","-0.2","0.6","0.2","0.6","34.2","35","19"
"Adell, Jo","666176","2024","-1","58.5","-0.3","-1.3","0","-1.6","32.1","41","24"
"Andujar, Miguel","609280","2024","-7","25.8","-1.8","1.5","-1.8","-2.1","32","31","8"
"Arozarena, Randy","668227","2024","-7","34","-1.8","-0.5","0.2","-2","31.4","50","17"
"Bader, Harrison","664056","2024","5","71.4","1","-0.2","0.3","1.1","35.5","42","30"
"Bellinger, Cody","641355","2024","-2","41.4","0.5","0.4","0.1","1","35.6","29","12"
"Benintendi, Andrew","643217","2024","-7","34.7","-1.1","0.3","-0.4","-1.2","32.4","49","17"
"Benson, Will","666181","2024","-2","45.2","-0.3","0.6","-0.7","-0.5","33.9","42","19"
"Bleday, JJ","668709","2024","0","62.8","0.5","0","0","0.5","35.2","43","27"
"Brennan, Will","686823","2024","0","56.3","0.5","-0.2","0","0.3","34.3","32","18"
"Brown, Seth","664913","2024","-1","50","-0.9","0.1","-0.1","-0.9","32.5","28","14"
"Butler, Lawrence","671732","2024","-1","55.6","0.1","0.3","-0.1","0.2","34","36","20"
"Buxton, Byron","621439","2024","3","56.3","1","-0.4","0.4","1.1","35.8","48","27"
"Carlson, Dylan","666185","2024","-5","40.7","-1","-0.4","-0.2","-1.5","32.7","27","11"
"Carroll, Corbin","682998","2024","1","52.3","0.7","1.9","-2.2","0.4","34.7","65","34"
"Castellanos, Nick","592206","2024","-5","38.9","-1.8","-0.9","-0.1","-2.7","30.2","36","14"
"Cave, Jake","595909","2024","1","40.6","-0.2","-0.3","0.1","-0.4","33.4","32","13"
"Chisholm Jr., Jazz","665862","2024","2","57.9","0.3","0.5","0.2","0.9","35.3","57","33"
"Chourio, Jackson","694192","2024","5","65.9","-0.5","1.6","-0.1","1.1","34.6","41","27"
"Conforto, Michael","624424","2024","-1","40","-1","0.2","0.1","-0.7","32.2","25","10"
"Cowser, Colton","681297","2024","7","65.9","1.2","-0.2","0","1","34.5","44","29"
"Crow-Armstrong, Pete","691718","2024","6","75","2.6","0.5","0.3","3.3","37.8","40","30"
"De La Cruz, Bryan","650559","2024","-7","25.8","-1.5","0.2","-0.5","-1.8","31.8","31","8"
"DeLuca, Jonny","676356","2024","4","71.4","1.2","-0.4","0","0.8","34.8","28","20"
"Donovan, Brendan","680977","2024","0","53.7","-0.4","0.6","0","0.1","34.3","41","22"
"Doyle, Brenton","686668","2024","6","67.6","0.9","-1.2","0.8","0.4","34.6","68","46"
"Dubón, Mauricio","643289","2024","0","53.8","0.4","0.4","0","0.8","35.1","26","14"
"Duran, Jarren","680776","2024","5","62.3","0.4","1.7","-0.9","1.2","35.1","53","33"
"Duvall, Adam","594807","2024","0","59.4","0","1.4","-0.4","1","35.1","32","19"
"Fairchild, Stuart","656413","2024","1","64.1","0.2","0.3","-0.1","0.4","34.4","39","25"
"Fraley, Jake","641584","2024","1","60","1.1","-0.1","0.2","1.2","34.3","35","21"
